SessionId	ItemId	Time
95090	243	1622498738.0
95090	236	1622498747.0
132960	245	1622498897.0
132960	248	1622499013.0
122512	630	1622499980.0
122512	79	1622500660.0
122512	629	1622501880.0
122512	79	1622501983.0
154276	550	1622500054.0
154276	321	1622500069.0
12547	602	1622501194.0
12547	497	1622501277.0
154280	415	1622501255.0
154280	92	1622501315.0
154280	629	1622501387.0
154280	87	1622501483.0
154280	415	1622501512.0
154282	325	1622501462.0
154282	341	1622501478.0
154282	321	1622501503.0
154282	322	1622501512.0
154282	323	1622501515.0
154282	324	1622501527.0
109842	87	1622501928.0
109842	415	1622501945.0
154288	87	1622503252.0
154288	415	1622503310.0
154288	87	1622503411.0
146006	321	1622504210.0
146006	550	1622504218.0
146006	321	1622504226.0
146006	322	1622504295.0
128511	461	1622504829.0
128511	447	1622504858.0
154069	91	1622506178.0
154069	483	1622506221.0
154069	321	1622506365.0
154069	323	1622506379.0
152226	325	1622509174.0
152226	321	1622509182.0
154306	243	1622510549.0
154306	236	1622510557.0
73598	92	1622514270.0
73598	226	1622514456.0
154310	88	1622515382.0
154310	92	1622515437.0
154311	87	1622515697.0
154311	415	1622515819.0
154311	87	1622516444.0
98464	321	1622516704.0
98464	322	1622516733.0
98464	321	1622516755.0
98464	324	1622516888.0
154316	87	1622519815.0
154316	415	1622519857.0
59849	327	1622521263.0
59849	348	1622521300.0
59849	346	1622521329.0
125365	629	1622523426.0
125365	628	1622523488.0
153951	557	1622525487.0
153951	86	1622525918.0
121845	251	1622525709.0
121845	253	1622525917.0
154341	430	1622525727.0
154341	231	1622525788.0
154341	91	1622525842.0
154341	73	1622525899.0
154370	83	1622527477.0
154370	82	1622527504.0
154373	236	1622527679.0
154373	226	1622527700.0
154373	214	1622527706.0
154373	181	1622527713.0
39005	90	1622527806.0
39005	86	1622527850.0
139512	88	1622528147.0
139512	84	1622528195.0
154390	223	1622528537.0
154390	212	1622528553.0
154390	92	1622528586.0
154400	415	1622528872.0
154400	87	1622528915.0
58868	492	1622528940.0
58868	495	1622528951.0
140907	442	1622529044.0
140907	251	1622529210.0
147515	26	1622529050.0
147515	441	1622529058.0
154407	413	1622529065.0
154407	223	1622529284.0
154407	226	1622529343.0
154407	87	1622529753.0
154407	92	1622529763.0
154407	88	1622529804.0
34010	493	1622529165.0
34010	489	1622529218.0
154412	629	1622529239.0
154412	628	1622529488.0
53173	223	1622529566.0
53173	226	1622529726.0
53173	245	1622529868.0
152465	541	1622529638.0
152465	547	1622529723.0
152465	545	1622529738.0
152465	441	1622529799.0
143202	633	1622529739.0
143202	610	1622531033.0
143202	615	1622531069.0
143202	616	1622531086.0
143202	615	1622531250.0
154431	226	1622530022.0
154431	88	1622530084.0
